sequence,value
Winter-February-Class A,63
Winter-December-Class B,89
Fall-September-Class B,177
Summer-July-Class B,288
Summer-June-Class A,171
Summer-July-Class A,281
Spring-May-Class A,125
Fall-August-Class B,17
Fall-September-Class A,170
Fall-November-Class B,170
Spring-May-Class B,132
Spring-April-Class A,120
Summer-September-Class A,65
Winter-January-Class A,100
Summer-August-Class B,294
Fall-October-Class A,278
Fall-October-Class B,299
Winter-December-Class A,99
Winter-January-Class B,114
Summer-August-Class A,247
Spring-March-Class B,68
Spring-April-Class B,125
Fall-November-Class A,194
Spring-October-Class A,3
Summer-May-Class A,19
Winter-November-Class A,36
Winter-February-Class B,66
Winter-March-Class A,26
Summer-June-Class B,185
Spring-March-Class A,57
Winter-October-Class B,6
Spring-June-Class B,45
Fall-December-Class B,13
Winter-March-Class B,29
Summer-September-Class B,66
Spring-August-Class A,3
Spring-February-Class B,7
Fall-December-Class A,11
Winter-February-Class C,2
Spring-July-Class B,2
Winter-November-Class B,39
Spring-June-Class A,36
Summer-April-Class B,2
Winter-October-Class A,7
Summer-August-Class C,3
Fall-August-Class A,17
Fall-February-Class B,2
Spring-February-Class A,3
Spring-January-Class B,1
Spring-July-Class A,1
Summer-October-Class B,1
Summer-May-Class B,9
Unknown-February-Class B,1
Fall-July-Class A,1
Summer-June-Class C,1
Fall-September-Class C,2
Summer-October-Class A,3
Summer-March-Class A,1
Winter-April-Class A,1
Fall-June-Class A,1
Summer-July-Class C,2
Fall-October-Class C,1
Summer-March-Class B,1
Winter-April-Class B,1
Fall-November-Class C,1
Winter-November-Class C,1
Winter-March-Class C,1
Spring-March-Class C,1
Unknown-October-Class A,1
Winter-September-Class B,1
Unknown-August-Class A,1
Unknown-June-Class B,1
Unknown-July-Class A,1
Unknown-June-Class A,1
Unknown-January-Class A,1
Spring-January-Class A,1
